season,episode,song_title,song_url,artist_name,artist_url
4,S4E1,Red Right Hand (Single Version) [1998 Remastered Version],https://www.tunefind.com/song/10253/195555/red-right-hand,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
4,S4E1,No Heaven No Hell,https://www.tunefind.com/song/218733/289231/,Antony Genn,https://www.tunefind.com/artist/antony-genn
4,S4E1,Luca in Tommys Office,https://www.tunefind.com/song/270228/359023/,Antony Genn,https://www.tunefind.com/artist/antony-genn
4,S4E2,Lost,https://www.tunefind.com/song/136885/180642/,TOMMYANDMARY,https://www.tunefind.com/artist/tommyandmary
4,S4E2,The Mercy Seat (Live from KCRW),https://www.tunefind.com/song/136889/180649/,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
4,S4E2,The Longing,https://www.tunefind.com/song/137408/181370/,Imelda May,https://www.tunefind.com/artist/imelda-may
4,S4E2,Further On Up the Road,https://www.tunefind.com/song/136888/180647/,Johnny Cash,https://www.tunefind.com/artist/johnny-cash
4,S4E2,Bonnie Shows 'em What He's Got,https://www.tunefind.com/song/272384/362604/,Antony Genn,https://www.tunefind.com/artist/antony-genn
4,S4E3,Heart of a Dog,https://www.tunefind.com/song/97671/181107/,The Kills,https://www.tunefind.com/artist/the-kills
4,S4E3,Bye Bye Blackbird,https://www.tunefind.com/song/137235/181111/,Gene Austin,https://www.tunefind.com/artist/gene-austin
4,S4E3,Devil Inside Me,https://www.tunefind.com/song/137298/181207/,Frank Carter & The Rattlesnakes,https://www.tunefind.com/artist/frank-carter-the-rattlesnakes
4,S4E3,What Has Happened,https://www.tunefind.com/song/154440/206097/,Klaus Badelt,https://www.tunefind.com/artist/klaus-badelt
4,S4E3,I Wish,https://www.tunefind.com/song/137211/181077/,Rachel Unthank,https://www.tunefind.com/artist/rachel-unthank
4,S4E3,Polly Meets Luca,https://www.tunefind.com/song/162863/217718/,Martin Slattery & Anthony Genn,https://www.tunefind.com/artist/martin-slattery-anthony-genn
4,S4E3,Shutdown (Skepta cover),https://www.tunefind.com/song/208826/275934/,Martin Slattery & Antony Genn,https://www.tunefind.com/artist/martin-slattery-antony-genn
4,S4E4,Snake Oil,https://www.tunefind.com/song/112844/181573/,Foals,https://www.tunefind.com/artist/foals
4,S4E4,Stagger Lee (2011 Remastered Version),https://www.tunefind.com/song/137644/181652/,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
4,S4E4,Beat the Devil's Tattoo,https://www.tunefind.com/song/20457/181572/beat-the-devils-tattoo,Black Rebel Motorcycle Club,https://www.tunefind.com/artist/black-rebel-motorcycle-club
4,S4E5,Red Right Hand,https://www.tunefind.com/song/138422/182644/,Iggy Pop,https://www.tunefind.com/artist/iggy-pop
